Rank,State,State Laws Grade,Death Rate Per 100k,New Smart Gun Laws,Year
1,California,A-,42,yes,2014
2,Connecticut,A-,45,,2014
3,New Jersey,A-,46,,2014
4,Maryland,A-,33,,2014
5,New York,A-,47,,2014
6,Massachusetts,A-,50,yes,2014
7,Hawaii,B+,49,yes,2014
8,Illinois,B+,38,,2014
9,Rhode Island,B+,48,yes,2014
10,Delaware,B-,30,,2014
11,Washington,B-,35,yes,2014
12,Minnesota,C,44,yes,2014
13,Pennsylvania,C,26,,2014
14,Michigan,C,22,,2014
15,Iowa,C-,43,,2014
16,Colorado,C-,20,,2014
17,Wisconsin,C-,40,,2014
18,Oregon,D+,28,,2014
19,Ohio,D,27,,2014
20,Virginia,D,32,,2014
21,Nebraska,D,36,,2014
22,New Hampshire,D-,41,,2014
23,Indiana,D-,23,,2014
24,Maine,F,37,,2014
24,Oklahoma,F,8,yes,2014
24,West Virginia,F,12,,2014
27,Georgia,F,19,,2014
27,North Dakota,F,31,,2014
29,Nevada,F,18,,2014
29,North Carolina,F,25,,2014
29,Texas,F,29,,2014
32,Arkansas,F,7,,2014
32,Florida,F,24,,2014
34,New Mexico,F,9,,2014
34,South Carolina,F,10,,2014
34,Tennessee,F,11,,2014
37,Alabama,F,5,,2014
38,Utah,F,21,,2014
39,Idaho,F,16,,2014
39,Montana,F,6,,2014
41,Kansas,F,17,,2014
41,Vermont,F,39,,2014
43,South Dakota,F,34,,2014
44,Alaska,F,4,yes,2014
44,Missouri,F,14,,2014
44,Wyoming,F,1,,2014
47,Kentucky,F,13,,2014
48,Arizona,F,15,yes,2014
48,Mississippi,F,3,,2014
50,Louisiana,F,2,,2014
